A55,TFLite,MNN,PDLite,ncnn
EF2,0.64,1.06,0.78,0.96
SWF,0.72,1.01,,
EMO,0.57,1.15,0.65,
ENX,0.98,0.77,0.87,
MV2,0.61,1.41,,0.88
MV,0.66,0.9,0.68,
LVT,0.88,0.71,0.84,
