,TFLite,MNN
M1P,0.88
M1E,0.76,
A78,0.76,0.92
T200,0.71,
A76,0.69,0.85
A55,0.71,0.98
A75,0.6,0.75
M5,0.74,0.92
X1,0.68,0.84
X3,0.68,0.97
A71x,0.76,1.01
A510,0.54,1.03
