MobileNetV3,-154.1166928,-1.77935559,CNN
b0,61.45509096,15.85470439,CNN
b1,179.3605394,1.53015278,CNN
b2,79.6639372,0.70472654,CNN
cs3darknet_s,263.4459494,32.2063497,CNN
dla60x_c,279.2196193,36.37754615,CNN
efficientnet_lite0,-50.41794866,-8.9531977,CNN
efficientnet_lite1,22.09956052,-13.78225559,CNN
efficientnet_lite2,22.16315206,-17.36892981,CNN
efficientnet_lite3,96.28021844,-6.91275918,CNN
fbnetv3_b,72.38837103,-17.56522266,CNN
ghostnet_100,-115.1497442,-11.21809959,CNN
hardcorenas_c,-81.36393808,-6.74856438,CNN
lcnet_100,-158.3644554,-5.67797716,CNN
mnasnet_100,-31.78588516,-10.36312813,CNN
mobilenetv3_large_075,-139.9164667,-7.42008776,CNN
mobileone_s1,294.7666497,41.659384,CNN
regnetx_016,209.3331147,57.45010342,CNN
regnety_008_tv,144.201593,33.54470639,CNN
regnety_016,199.747652,22.21703208,CNN
regnetz_005,199.6605212,19.92263953,CNN
regnetz_b16,-175.4347429,3.9803782,CNN
repghostnet_130,-72.04159398,1.37775836,CNN
rexnet_100,20.19730147,-16.10971655,CNN
rexnet_130,59.8114759,-16.67183892,CNN
rexnet_150,34.66546615,-11.75392027,CNN
semnasnet_100,-71.51914728,-0.91955084,CNN
spnasnet_100,-20.741615,-9.03716428,CNN
tinynet_a,59.20977952,5.6737779,CNN
tinynet_b,14.47279532,-9.7440229,CNN
EF2-s0,213.3702351,-34.21420657,EF2
EF2-s1,365.9732962,-39.29744775,EF2
EF2-s2,435.1202729,-46.52067843,EF2
SWF-XS,95.44676997,-15.17971635,SWF
SWF-S,168.1737588,-17.05709812,SWF
SWF-L1,222.3744132,-14.62988729,SWF
EMO-1M,-273.946452,-14.92554879,EMO
EMO-2M,-296.1640715,-14.24755986,EMO
EMO-6M,-306.4810734,-10.51594453,EMO
ENX-XXS,-344.8645943,1.25564417,ENX
ENX-XS,-320.5022167,5.66923398,ENX
ENX-S,-306.6938532,13.27344294,ENX
MV2-0.5,-1.4780813,4.74010517,MV2
MV2-0.75,144.9038229,9.88199299,MV2
MV2-1.0,181.0489307,20.16390033,MV2
MV-XXS,-157.7295748,-4.74092038,MV
MV-XS,24.86173722,-1.13694613,MV
MV-S,-14.21216673,3.48959137,MV
LVT-128S,-357.8247955,17.40873624,LVT
LVT-128,-356.8105226,15.44539958,LVT
LVT-192,-355.8563919,20.6644393,LVT
