A55,TFLite,MNN,PDLite,ncnn
EF2,1.97,1.78,1.34,1.14
SWF,1.82,1.96,,
EMO,1.86,1.3,1.59,
ENX,1.2,1.79,1.29,
MV2,1.79,1.39,,2
MV,1.72,1.3,1.68,
LVT,1.64,2,1.68,
