A78,TFLite,MNN,PDLite,ncnn
EF2,0.66,1.02,0.63,1
SWF,0.81,1.08,,
EMO,0.59,0.92,0.55,
ENX,0.97,0.85,0.82,
MV2,0.71,1.22,,1.08
MV,0.67,0.72,0.58,
LVT,0.97,0.71,0.65,
